Proteins, RateConstant, Number of peptides, SD, Abundance
AATM_MOUSE,    0.120993, 25,    0.031728, 2790700613632.000000
ABCA6_MOUSE,    0.372366, 4,    0.061281, 5027127296.000000
ABCB7_MOUSE,    0.139689, 4,    0.108863, 5333427712.000000
ABCBA_MOUSE,    0.041655, 2,    0.026195, 1672466048.000000
ABCBB_MOUSE,    0.438434, 11,    0.079334, 94138793984.000000
ABCD1_MOUSE,    0.399230, 1,    0.000000, 407013984.000000
ABCD3_MOUSE,    0.420415, 17,    0.104156, 500964458496.000000
ABCE1_MOUSE,    0.329689, 5,    0.143649, 33572859904.000000
ABCF1_MOUSE,    0.425634, 2,    0.300938, 5073467904.000000
ABCF2_MOUSE,    0.727442, 2,    1.450385, 1169760256.000000
ABCG2_MOUSE,    0.442272, 2,    0.312564, 5491352576.000000
ABHD3_MOUSE,    0.273516, 1,    0.000000, 1097615744.000000
ABHD6_MOUSE,    0.444589, 3,    0.253618, 3656742656.000000
ABHDB_MOUSE,    0.189758, 4,    0.169547, 17282918400.000000
ABHEB_MOUSE,    0.192318, 10,    0.039389, 367176744960.000000
ACACA_MOUSE,    0.567386, 17,    0.160327, 70210478080.000000
ACACB_MOUSE,    0.495379, 6,    0.163541, 11344745472.000000
ACAD8_MOUSE,    0.153875, 5,    0.007908, 66802020352.000000
ACAD9_MOUSE,    0.196127, 4,    0.013667, 26618611712.000000
ACADL_MOUSE,    0.157043, 17,    0.036015, 553810198528.000000
ACADM_MOUSE,    0.255669, 10,    0.067886, 451883597824.000000
ACADS_MOUSE,    0.132857, 19,    0.035589, 768259719168.000000
ACADV_MOUSE,    0.368251, 24,    0.099025, 624560504832.000000
ACATN_MOUSE,    0.365007, 1,    0.000000, 1165677824.000000
ACBD5_MOUSE,    2.563098, 4,    1.405154, 40181223424.000000
ACBP_MOUSE,    0.345247, 12,    0.078830, 998205751296.000000
ACD10_MOUSE,    0.133237, 5,    0.032107, 16203074560.000000
ACD11_MOUSE,    0.665619, 4,    0.051667, 80587440128.000000
ACDSB_MOUSE,    0.372579, 10,    0.049479, 79003721728.000000
ACLY_MOUSE,    0.625479, 26,    0.155118, 475059617792.000000
ACNT1_MOUSE,    0.280476, 4,    0.097685, 7146243584.000000
ACO12_MOUSE,    0.501088, 5,    0.061044, 13100172288.000000
ACO13_MOUSE,    0.156629, 1,    0.000000, 19609509888.000000
ACOC_MOUSE,    0.230883, 23,    0.050175, 644814274560.000000
ACON_MOUSE,    0.139976, 24,    0.031129, 1157949030400.000000
ACOT1_MOUSE,    0.154252, 5,    0.028835, 51959099392.000000
ACOT2_MOUSE,    0.286284, 1,    0.000000, 3046067456.000000
ACOT4_MOUSE,    0.363027, 4,    0.109321, 6366932992.000000
ACOT8_MOUSE,    0.377334, 1,    0.000000, 782317760.000000
ACOX1_MOUSE,    1.097879, 34,    0.299647, 2286246952960.000000
ACOX2_MOUSE,    0.532180, 16,    0.136272, 160405028864.000000
ACOX3_MOUSE,    0.049885, 0,    0.000000, 670299456.000000
ACPM_MOUSE,    0.079681, 1,    0.000000, 1839264384.000000
ACS2L_MOUSE,    0.008472, 2,    0.005897, 907538624.000000
ACSA_MOUSE,    0.426305, 10,    0.104887, 99044327424.000000
ACSF2_MOUSE,    0.204265, 27,    0.048012, 701713940480.000000
ACSF3_MOUSE,    0.315416, 6,    0.032959, 8991121408.000000
ACSL1_MOUSE,    0.338678, 36,    0.066562, 1727009652736.000000
ACSL4_MOUSE,    1.345136, 3,    4.958662, 2133282304.000000
ACSL5_MOUSE,    0.369499, 17,    0.093125, 357805228032.000000
ACSL6_MOUSE,    0.238535, 0,    0.000000, 8683873280.000000
ACSM1_MOUSE,    0.159054, 29,    0.042210, 1276174270464.000000
ACSM2_MOUSE,    0.048580, 0,    0.000000, 850438080.000000
ACSM3_MOUSE,    0.117818, 5,    0.036996, 26055104512.000000
ACSM5_MOUSE,    0.144208, 12,    0.032734, 119682351104.000000
ACSS3_MOUSE,    0.212326, 4,    0.029731, 4784240128.000000
ACTBL_MOUSE,    0.220991, 8,    0.042123, 1688996020224.000000
ACTB_MOUSE,    0.215541, 27,    0.041129, 5190250921984.000000
ACTC_MOUSE,    0.308974, 1,    0.000000, 478300209152.000000
ACTN1_MOUSE,    0.238660, 19,    0.062274, 195109765120.000000
ACTN4_MOUSE,    0.282868, 18,    0.058498, 287356583936.000000
ACTY_MOUSE,    0.300239, 4,    0.160913, 10035235840.000000
ACTZ_MOUSE,    7.083912, 3,    4.710396, 5447127040.000000
ACY1_MOUSE,    0.271021, 4,    0.795335, 34516783104.000000
ACY3_MOUSE,    0.175167, 6,    0.019045, 55546126336.000000
ADDA_MOUSE,    0.181476, 1,    0.126988, 255354896.000000
ADH1_MOUSE,    0.216284, 20,    0.050122, 7170520252416.000000
ADH4_MOUSE,    0.340761, 3,    2.571220, 18283765760.000000
ADHX_MOUSE,    0.222921, 9,    0.037665, 735708053504.000000
ADK_MOUSE,    0.325640, 14,    0.072678, 484537139200.000000
ADPGK_MOUSE,    0.386101, 2,    0.144991, 4201994240.000000
ADPRS_MOUSE,    0.150862, 2,    0.052397, 234099552.000000
ADRO_MOUSE,    0.050087, 4,    0.226540, 8727037952.000000
ADT1_MOUSE,    0.162135, 4,    0.024600, 514501279744.000000
ADT2_MOUSE,    0.208993, 8,    0.039162, 949783887872.000000
ADX_MOUSE,    0.293344, 0,    4.523638, 30883297280.000000
AFAD_MOUSE,    0.277234, 2,    0.194473, 1702532096.000000
AFG32_MOUSE,    0.160576, 2,    0.044173, 6679689728.000000
AGK_MOUSE,    0.196315, 1,    0.000000, 2995753728.000000
AGM1_MOUSE,    0.136626, 2,    0.188453, 3619797760.000000
AGO2_MOUSE,    0.022209, 2,    0.012444, 233150480.000000
AGRIN_MOUSE,    0.068659, 1,    0.004357, 75357248.000000
AGT2_MOUSE,    0.133551, 9,    0.034082, 204210798592.000000
AHSA1_MOUSE,    0.682993, 5,    0.502338, 12124490752.000000
AIFM1_MOUSE,    0.154667, 14,    0.018710, 412548268032.000000
AIMP1_MOUSE,    0.322623, 4,    0.161318, 7750876160.000000
AIMP2_MOUSE,    0.126372, 4,    0.034573, 18741526528.000000
AK1A1_MOUSE,    0.237484, 11,    0.048550, 558047035392.000000
AK1CD_MOUSE,    0.244867, 13,    0.061355, 378010075136.000000
AK1D1_MOUSE,    0.260233, 12,    0.041295, 210398724096.000000
AKC1H_MOUSE,    0.239219, 4,    0.067070, 369782194176.000000
AKCL2_MOUSE,    0.281220, 3,    0.167842, 83020210176.000000
AL1A1_MOUSE,    0.272474, 46,    0.070678, 6233253216256.000000
AL1A7_MOUSE,    0.259451, 14,    0.063730, 398275215360.000000
AL1B1_MOUSE,    0.142221, 19,    0.033165, 187900739584.000000
AL1L1_MOUSE,    0.344910, 72,    0.088683, 4496281305088.000000
AL3A2_MOUSE,    0.288808, 16,    0.058015, 478051368960.000000
AL4A1_MOUSE,    0.119288, 10,    0.031819, 699371487232.000000
AL7A1_MOUSE,    0.171167, 24,    0.041807, 1305995771904.000000
AL8A1_MOUSE,    0.247448, 22,    0.061710, 837904367616.000000
AL9A1_MOUSE,    0.236187, 17,    0.059650, 478438522880.000000
ALAT1_MOUSE,    0.426079, 13,    0.120944, 327407796224.000000
ALAT2_MOUSE,    0.765475, 5,    0.162255, 65247936512.000000
ALBU_MOUSE,    0.270090, 47,    0.075795, 5073797644288.000000
ALDH2_MOUSE,    0.493537, 34,    0.141205, 6132681146368.000000
ALDOA_MOUSE,    0.509632, 5,    0.208973, 66084577280.000000
ALDOB_MOUSE,    0.459971, 25,    0.110916, 7383190863872.000000
ALDOC_MOUSE,    0.192548, 2,    0.042531, 12834436096.000000
ALDR_MOUSE,    0.160624, 2,    0.019038, 6228576256.000000
ALG2_MOUSE,    0.464908, 3,    1.857855, 1005728320.000000
ALG5_MOUSE,    0.346112, 3,    0.167056, 3338938880.000000
ALR_MOUSE,    0.162718, 4,    0.020023, 7908948992.000000
AMACR_MOUSE,    0.324417, 7,    0.095244, 167988920320.000000
AMBP_MOUSE,    1.802698, 3,    3.096219, 3130642944.000000
AMPB_MOUSE,    0.293324, 6,    0.046884, 15022926848.000000
AMPE_MOUSE,    0.654092, 4,    0.091850, 8760510464.000000
AMPL_MOUSE,    0.274581, 30,    0.073635, 1002124935168.000000
AMPN_MOUSE,    0.942665, 9,    0.229465, 30694793216.000000
AMRP_MOUSE,    0.941936, 4,    5.025880, 6339217408.000000
AN32A_MOUSE,    0.311362, 2,    0.025357, 20124506112.000000
AN32B_MOUSE,    0.353976, 2,    0.033377, 7644150272.000000
ANFY1_MOUSE,    0.220278, 2,    0.065681, 1400642048.000000
ANK1_MOUSE,    0.000340, 1,    0.000191, 377569056.000000
ANK3_MOUSE,    0.019215, 1,    0.013433, 201252224.000000
ANM1_MOUSE,    0.163164, 2,    0.023282, 664699392.000000
ANT3_MOUSE,    2.910917, 4,    0.804912, 30684991488.000000
ANX11_MOUSE,    1.352018, 1,    0.000000, 4997429760.000000
ANXA1_MOUSE,    0.115528, 0,    0.000000, 378412640.000000
ANXA2_MOUSE,    0.068470, 5,    0.016427, 28157292544.000000
ANXA3_MOUSE,    0.532125, 1,    1.587306, 2228994560.000000
ANXA4_MOUSE,    0.342378, 4,    0.034970, 101481742336.000000
ANXA5_MOUSE,    0.190501, 11,    0.043234, 183312334848.000000
ANXA6_MOUSE,    0.330249, 21,    0.063755, 302968930304.000000
ANXA7_MOUSE,    0.589559, 3,    1.166158, 28521504768.000000
AOFA_MOUSE,    0.297234, 2,    0.124788, 10054596608.000000
AOFB_MOUSE,    0.197372, 10,    0.039877, 236072534016.000000
AOXA_MOUSE,    0.534877, 6,    0.218332, 15399225344.000000
AOXC_MOUSE,    0.433003, 29,    0.114074, 868091822080.000000
AP1B1_MOUSE,    0.196427, 10,    0.044747, 108558295040.000000
AP1G1_MOUSE,    0.000531, 1,    0.000000, 5711683072.000000
AP1M1_MOUSE,    0.202028, 4,    0.070882, 5779988992.000000
AP1S1_MOUSE,    0.304382, 1,    0.000000, 2293283072.000000
AP2A1_MOUSE,    0.196511, 7,    0.033450, 25601257472.000000
AP2A2_MOUSE,    0.142613, 5,    0.030558, 82457141248.000000
AP2B1_MOUSE,    0.222069, 6,    0.042285, 47689277440.000000
AP2M1_MOUSE,    0.291492, 7,    0.111252, 39992328192.000000
AP3B1_MOUSE,    0.287839, 3,    0.290718, 4157708032.000000
AP3D1_MOUSE,    0.484437, 3,    0.111219, 1255600768.000000
AP3M1_MOUSE,    0.562447, 2,    0.059534, 645485824.000000
AP3S1_MOUSE,    0.649628, 1,    0.000000, 643987648.000000
AP4A_MOUSE,    0.212013, 0,    0.014387, 267604656.000000
APEH_MOUSE,    0.249676, 7,    0.079964, 32791525376.000000
APEX1_MOUSE,    0.343659, 4,    0.075816, 13494210560.000000
API5_MOUSE,    0.870224, 2,    0.745745, 2628710912.000000
APMAP_MOUSE,    0.301918, 2,    0.015764, 10183564288.000000
APOA1_MOUSE,    1.755101, 6,    3.739055, 93905051648.000000
APOA4_MOUSE,    1.104680, 2,    0.033331, 1454368512.000000
APOB_MOUSE,    6.393076, 13,    2.959848, 24049645568.000000
APOC3_MOUSE,    0.894271, 1,    0.000000, 607722112.000000
APOE_MOUSE,    8.693231, 4,    3.570861, 120236302336.000000
APOH_MOUSE,    1.094487, 0,    0.691457, 757842944.000000
APT_MOUSE,    0.460461, 4,    0.112298, 3286027520.000000
AQP1_MOUSE,    0.489449, 1,    0.150462, 15928640512.000000
ARAF_MOUSE,    0.301557, 3,    0.200037, 817886080.000000
ARC1A_MOUSE,    0.110655, 4,    0.036757, 9510895616.000000
ARC1B_MOUSE,    0.115098, 5,    0.023901, 28435101696.000000
ARF1_MOUSE,    0.565634, 4,    0.055786, 193256521728.000000
ARF4_MOUSE,    0.767496, 2,    0.828566, 14960287744.000000
ARF5_MOUSE,    1.400474, 1,    0.000000, 1568817536.000000
ARF6_MOUSE,    0.120782, 3,    0.019780, 26060333056.000000
ARFG1_MOUSE,    0.363842, 1,    0.340859, 226736992.000000
ARFG2_MOUSE,    1.064108, 4,    0.394923, 7035773952.000000
ARGI1_MOUSE,    0.228441, 27,    0.059161, 4562062671872.000000
ARI2_MOUSE,    0.370569, 2,    0.036928, 386572640.000000
ARK72_MOUSE,    0.193423, 9,    0.020806, 263328071680.000000
ARL1_MOUSE,    2.381011, 2,    0.453501, 1918272128.000000
ARL8A_MOUSE,    0.094108, 2,    0.070368, 1320552832.000000
ARL8B_MOUSE,    0.369886, 4,    0.121732, 4945568768.000000
ARLY_MOUSE,    0.286914, 32,    0.079631, 1689906708480.000000
ARMC1_MOUSE,    0.174925, 1,    0.000000, 2032977920.000000
ARP10_MOUSE,    1.543046, 1,    0.000000, 22979854.000000
ARP2_MOUSE,    0.181602, 10,    0.069197, 94272053248.000000
ARP3_MOUSE,    0.200181, 9,    0.057915, 106731700224.000000
ARP5L_MOUSE,    0.233602, 3,    0.070279, 6055228928.000000
ARPC2_MOUSE,    0.117778, 5,    0.035164, 27794214912.000000
ARPC3_MOUSE,    1.469053, 2,    0.867737, 16415222784.000000
ARPC4_MOUSE,    0.142853, 2,    0.018168, 15537154048.000000
ARPC5_MOUSE,    0.254249, 2,    0.045988, 23137505280.000000
ARSB_MOUSE,    9.847884, 0,    6.917570, 1639839744.000000
ARY2_MOUSE,    0.383832, 3,    0.234274, 12618779648.000000
AS3MT_MOUSE,    0.544663, 4,    0.126990, 19495229440.000000
ASAH1_MOUSE,    0.129496, 3,    0.060270, 16814561280.000000
ASGL1_MOUSE,    0.532998, 2,    0.263621, 344794912.000000
ASGR1_MOUSE,    1.332311, 3,    0.462900, 39327342592.000000
ASPC1_MOUSE,    0.683920, 4,    0.328817, 1920471168.000000
ASPD_MOUSE,    0.173111, 13,    0.044427, 174818164736.000000
ASPH_MOUSE,    0.315752, 3,    0.050044, 4354344448.000000
ASSY_MOUSE,    0.275849, 34,    0.073046, 7195126136832.000000
AT11C_MOUSE,    0.188475, 13,    0.105156, 63545520128.000000
AT131_MOUSE,    0.261480, 4,    0.102091, 6568879616.000000
AT1A1_MOUSE,    0.214851, 17,    0.056295, 279179886592.000000
AT1A4_MOUSE,    0.049861, 1,    0.000000, 94982528.000000
AT1B1_MOUSE,    0.203892, 8,    0.036965, 57999167488.000000
AT1B3_MOUSE,    8.749162, 1,    0.000000, 10157075456.000000
AT2A2_MOUSE,    0.447372, 13,    0.124910, 85346959360.000000
AT2B1_MOUSE,    0.444490, 2,    0.057390, 566469184.000000
AT2L1_MOUSE,    1.979514, 3,    0.954399, 19065137152.000000
AT5F1_MOUSE,    0.147544, 9,    0.019249, 206496006144.000000
ATAD1_MOUSE,    0.295822, 4,    0.105989, 3508563712.000000
ATAD3_MOUSE,    0.120738, 4,    0.028096, 31895818240.000000
ATG3_MOUSE,    0.497290, 1,    0.109464, 4163708416.000000
ATG4B_MOUSE,    0.002681, 1,    0.000000, 35118440.000000
ATG5_MOUSE,    1.169335, 0,    0.000000, 245487824.000000
ATG7_MOUSE,    0.470587, 4,    0.260503, 7056958976.000000
ATLA2_MOUSE,    0.802427, 2,    0.348847, 7293888000.000000
ATLA3_MOUSE,    0.259614, 7,    0.066418, 28614899712.000000
ATOX1_MOUSE,    0.504914, 4,    0.219551, 28089937920.000000
ATP5E_MOUSE,    0.063720, 1,    0.000000, 26639214592.000000
ATP5H_MOUSE,    0.137383, 17,    0.029816, 649858908160.000000
ATP5I_MOUSE,    0.124717, 4,    0.055284, 170107486208.000000
ATP5J_MOUSE,    0.129239, 4,    0.095953, 3405223424.000000
ATP5L_MOUSE,    0.116136, 4,    0.012632, 429547356160.000000
ATP8_MOUSE,    0.019840, 0,    0.000000, 555428096.000000
ATPA_MOUSE,    0.144409, 24,    0.027279, 4900242063360.000000
ATPB_MOUSE,    0.127794, 45,    0.034799, 6716513058816.000000
ATPD_MOUSE,    0.135125, 2,    0.095340, 45629337600.000000
ATPG_MOUSE,    0.100345, 9,    0.041618, 353029619712.000000
ATPK_MOUSE,    0.131836, 3,    0.043820, 187569192960.000000
ATPMK_MOUSE,    0.221837, 4,    0.114067, 148971044864.000000
ATPO_MOUSE,    0.116311, 13,    0.016935, 952859492352.000000
ATTY_MOUSE,    0.507097, 1,    0.096091, 1109394432.000000
ATX10_MOUSE,    0.154163, 1,    0.000000, 4482323456.000000
ATX2L_MOUSE,    0.017597, 1,    0.000000, 176470416.000000
ATX2_MOUSE,    0.049516, 1,    0.303651, 686619136.000000
AUHM_MOUSE,    0.099478, 1,    0.000000, 13726745600.000000
AUP1_MOUSE,    0.372544, 1,    0.000000, 389915040.000000
B2L13_MOUSE,    0.079712, 4,    1.517358, 3198525696.000000
B3AT_MOUSE,    0.001403, 4,    0.002671, 10734674944.000000
B4GT1_MOUSE,    0.347352, 1,    0.000000, 164869856.000000
BAAT_MOUSE,    0.488877, 9,    0.118280, 190868324352.000000
BABA1_MOUSE,    0.201171, 2,    0.137401, 468802112.000000
BABA2_MOUSE,    0.404593, 2,    0.040582, 871951680.000000
BACH_MOUSE,    0.119606, 4,    0.030603, 2888134656.000000
BAG3_MOUSE,    1.030613, 4,    0.345066, 2610162432.000000
BAG6_MOUSE,    0.560332, 3,    1.102714, 1458478592.000000
BAP31_MOUSE,    0.285446, 5,    0.044065, 55162826752.000000
BASI_MOUSE,    0.575437, 4,    0.093774, 44550336512.000000
BAX_MOUSE,    3.430414, 2,    1.478641, 300517088.000000
BCAP_MOUSE,    0.661313, 1,    0.000000, 436493984.000000
BCS1_MOUSE,    0.151584, 2,    0.137099, 1012928064.000000
BDH2_MOUSE,    0.116916, 1,    0.000000, 971980416.000000
BDH_MOUSE,    0.156395, 8,    0.035298, 614407077888.000000
BGAL_MOUSE,    0.117992, 3,    0.029433, 3135548928.000000
BGLR_MOUSE,    0.126277, 5,    0.022263, 24091295744.000000
BHMT1_MOUSE,    0.247505, 31,    0.044797, 8497981292544.000000
BIEA_MOUSE,    0.325081, 2,    0.083848, 6886506496.000000
BIG2_MOUSE,    0.922323, 0,    1.089914, 43111420.000000
BIP_MOUSE,    0.440944, 40,    0.113227, 2918850756608.000000
BLMH_MOUSE,    0.319601, 4,    0.145849, 5682039296.000000
BLVRB_MOUSE,    0.189736, 8,    0.046645, 256803651584.000000
BODG_MOUSE,    0.860974, 3,    0.420970, 35813777408.000000
BOLA1_MOUSE,    0.626912, 4,    0.190979, 2578660608.000000
BOLA3_MOUSE,    0.103032, 1,    0.000000, 609852096.000000
BPHL_MOUSE,    0.160821, 8,    0.035676, 278779035648.000000
BPNT1_MOUSE,    0.338003, 7,    0.061664, 112157949952.000000
BRCC3_MOUSE,    0.250420, 3,    0.679769, 1136109952.000000
BRI3B_MOUSE,    0.303285, 1,    0.133940, 1440643712.000000
BT3L4_MOUSE,    0.270743, 2,    0.046967, 19188795392.000000
BTF3_MOUSE,    0.802798, 1,    0.000000, 7562750464.000000
BUB3_MOUSE,    4.251098, 0,    2.892680, 1385591040.000000
BUP1_MOUSE,    0.423441, 4,    0.047328, 44217982976.000000
BZW1_MOUSE,    0.460746, 3,    0.139152, 1121504384.000000
C1QBP_MOUSE,    0.194620, 2,    0.108343, 25253795840.000000
C1TC_MOUSE,    0.193106, 19,    0.052362, 616701231104.000000
C2CD2_MOUSE,    0.537995, 2,    0.089638, 2059535488.000000
C4BPA_MOUSE,    0.659491, 4,    0.093144, 2461898752.000000
C560_MOUSE,    0.167967, 6,    0.051707, 47070232576.000000
CA050_MOUSE,    0.186596, 1,    0.000000, 152987696.000000
CADH2_MOUSE,    0.575722, 3,    0.407560, 5766297600.000000
CAF17_MOUSE,    0.118906, 2,    0.043578, 2354647808.000000
CAH14_MOUSE,    0.558288, 2,    0.107024, 3537270272.000000
CAH1_MOUSE,    0.004610, 3,    0.003094, 8247481344.000000
CAH2_MOUSE,    0.017368, 4,    0.005784, 51101429760.000000
CAH3_MOUSE,    0.204441, 33,    0.046658, 11792904355840.000000
CAH5A_MOUSE,    0.210862, 5,    0.043889, 23410413568.000000
CAH8_MOUSE,    1.208097, 2,    0.698212, 3652593920.000000
CALB1_MOUSE,    0.024088, 1,    0.000000, 112242776.000000
CALM1_MOUSE,    0.315329, 4,    0.117521, 17655928832.000000
CALR_MOUSE,    0.340879, 16,    0.088899, 769216020480.000000
CALU_MOUSE,    0.561009, 4,    0.253155, 3398776064.000000
CALX_MOUSE,    0.657505, 13,    0.151900, 211334086656.000000
CAN1_MOUSE,    0.284788, 1,    0.037102, 2758816000.000000
CAN2_MOUSE,    0.314720, 3,    1.095132, 2310078464.000000
CAND1_MOUSE,    0.296087, 13,    0.058664, 72301281280.000000
CAND2_MOUSE,    0.228937, 0,    0.000000, 58461696.000000
CAP1_MOUSE,    0.318178, 9,    0.057115, 70027100160.000000
CAPR1_MOUSE,    0.679964, 3,    0.590786, 21981128704.000000
CAPZB_MOUSE,    0.298273, 7,    0.065057, 49631404032.000000
CASP6_MOUSE,    0.326811, 1,    0.000000, 315142080.000000
CASP8_MOUSE,    0.699208, 3,    0.352795, 721758656.000000
CATA_MOUSE,    1.204994, 39,    0.292070, 4282487668736.000000
CATB_MOUSE,    0.373322, 6,    0.072591, 220682600448.000000
CATC_MOUSE,    0.321094, 5,    0.121469, 19196706816.000000
CATD_MOUSE,    0.270148, 5,    0.040354, 153677824000.000000
CATF_MOUSE,    0.080263, 4,    0.047336, 3469576704.000000
CATH_MOUSE,    0.347320, 3,    0.092463, 67189321728.000000
CATL1_MOUSE,    1.666578, 3,    0.966470, 2976876544.000000
CATS_MOUSE,    0.279203, 1,    0.000000, 540123648.000000
CATZ_MOUSE,    0.287129, 8,    0.034391, 56801710080.000000
CAZA1_MOUSE,    0.194273, 2,    0.065343, 3877272832.000000
CAZA2_MOUSE,    0.219416, 5,    0.039049, 43933388800.000000
CB072_MOUSE,    0.131888, 3,    0.234431, 2361521152.000000
CBPQ_MOUSE,    0.138312, 4,    0.024511, 22507069440.000000
CBR1_MOUSE,    0.219134, 10,    0.054456, 215436935168.000000
CBR3_MOUSE,    0.003490, 0,    0.000000, 1457520768.000000
CBR4_MOUSE,    0.140981, 8,    0.021860, 58831089664.000000
CBS_MOUSE,    0.538899, 20,    0.135867, 219175157760.000000
CBX3_MOUSE,    1.034302, 1,    0.689596, 2434319872.000000
CC50A_MOUSE,    0.338970, 4,    0.445928, 9618388992.000000
CCAR1_MOUSE,    0.408513, 1,    0.000000, 125490496.000000
CCD22_MOUSE,    0.277805, 2,    0.122854, 315125184.000000
CCD25_MOUSE,    0.173113, 1,    0.000000, 477201056.000000
CCD47_MOUSE,    0.340098, 5,    0.048346, 12594950144.000000
CCD93_MOUSE,    0.191919, 1,    0.000000, 230003072.000000
CCS_MOUSE,    0.684153, 1,    0.616408, 1480100608.000000
CD166_MOUSE,    0.327297, 2,    0.008981, 4231764736.000000
CD1D1_MOUSE,    0.000231, 1,    0.000000, 2332949504.000000
CD302_MOUSE,    8.699710, 1,    0.000000, 1331565440.000000
CD36_MOUSE,    0.592264, 0,    0.000000, 138726592.000000
CD38_MOUSE,    0.220723, 1,    1.947787, 3038088192.000000
CD47_MOUSE,    0.135877, 1,    0.000000, 3363170048.000000
CD81_MOUSE,    0.453715, 2,    0.154320, 9139829760.000000
CD82_MOUSE,    3.725337, 0,    0.000000, 1041100992.000000
CDC37_MOUSE,    0.725867, 3,    0.014161, 1775829248.000000
CDC42_MOUSE,    1.809482, 2,    0.808426, 15841276928.000000
CDC73_MOUSE,    0.334837, 0,    0.000000, 58040024.000000
CDIPT_MOUSE,    0.513107, 4,    0.321648, 2829089792.000000
CDS2_MOUSE,    0.925810, 2,    0.467020, 2337244416.000000
CDV3_MOUSE,    0.559057, 2,    0.335987, 767540096.000000
CEAM1_MOUSE,    0.406020, 3,    0.145143, 10550534144.000000
CELF1_MOUSE,    0.036087, 1,    0.099051, 4841437696.000000
CENPV_MOUSE,    0.048619, 4,    0.007894, 33376880640.000000
CEPT1_MOUSE,    0.475031, 2,    0.197796, 1097163520.000000
CERS2_MOUSE,    0.930819, 4,    0.127748, 23215335424.000000
CERU_MOUSE,    0.894893, 7,    0.695532, 11978758144.000000
CFAH_MOUSE,    3.379447, 2,    1.074608, 1096672896.000000
CGL_MOUSE,    0.242587, 18,    0.062473, 750206517248.000000
CH082_MOUSE,    0.118606, 1,    0.009655, 1840587008.000000
CH10_MOUSE,    0.218717, 3,    0.048502, 442697121792.000000
CH60_MOUSE,    0.132579, 34,    0.037344, 2318483324928.000000
CHCH2_MOUSE,    2.229351, 1,    1.804487, 3620632064.000000
CHD4_MOUSE,    0.326791, 1,    0.000000, 16189544.000000
CHDH_MOUSE,    0.137096, 20,    0.038172, 237231833088.000000
CHIL3_MOUSE,    0.049696, 1,    0.000000, 286985856.000000
CHLE_MOUSE,    8.037820, 2,    5.200438, 1112992640.000000
CHM4B_MOUSE,    1.311424, 1,    0.000000, 1737907200.000000
CHMP6_MOUSE,    9.767239, 1,    0.000000, 158586048.000000
CHRD1_MOUSE,    0.541101, 2,    0.216728, 3827027712.000000
CING_MOUSE,    0.388135, 4,    0.243792, 3206126336.000000
CISD1_MOUSE,    0.162563, 5,    0.096257, 122798030848.000000
CISD2_MOUSE,    0.231049, 2,    0.013139, 7289137664.000000
