Proteins, RateConstant, Number of peptides, SD, Abundance
1433B_MOUSE,    0.302335, 6,    0.047544, 61245173760.000000
1433E_MOUSE,    0.291690, 11,    0.052363, 151824269312.000000
1433F_MOUSE,    0.426722, 3,    0.109056, 10966198272.000000
1433G_MOUSE,    0.360757, 4,    0.042970, 44323508224.000000
1433T_MOUSE,    0.602352, 5,    0.208469, 36528467968.000000
1433Z_MOUSE,    0.332051, 10,    0.055192, 194130477056.000000
2A5E_MOUSE,    0.699308, 1,    0.174206, 702815104.000000
2AAA_MOUSE,    0.370387, 7,    0.082959, 47636176896.000000
2AAB_MOUSE,    0.614009, 1,    0.000000, 156714640.000000
2ABA_MOUSE,    0.684153, 1,    0.195328, 141848160.000000
3BHS1_MOUSE,    2.107527, 1,    1.158001, 11285798912.000000
3BHS3_MOUSE,    0.529252, 4,    0.094503, 91737874432.000000
3BHS4_MOUSE,    0.136305, 4,    0.053130, 51143860224.000000
3BHS5_MOUSE,    0.082081, 6,    0.012985, 73687392256.000000
3BHS7_MOUSE,    0.506942, 4,    0.162474, 20062535680.000000
3HAO_MOUSE,    0.293673, 7,    0.045974, 759690231808.000000
3HIDH_MOUSE,    0.132791, 14,    0.028154, 325198086144.000000
5NTC_MOUSE,    0.000218, 0,    0.000000, 125716760.000000
6PGD_MOUSE,    0.216769, 6,    0.041136, 74968948736.000000
6PGL_MOUSE,    0.154842, 4,    0.035825, 47754412032.000000
A16A1_MOUSE,    0.330660, 5,    0.064128, 30397095936.000000
A1AT1_MOUSE,    0.938345, 5,    0.525885, 174485569536.000000
A1AT2_MOUSE,    0.684153, 5,    0.473548, 51438252032.000000
A1AT4_MOUSE,    3.058109, 1,    0.000000, 25257506816.000000
A1AT5_MOUSE,    1.998974, 2,    0.389590, 71772659712.000000
A1CF_MOUSE,    0.621286, 6,    0.118125, 28447123456.000000
A2AP_MOUSE,    2.554797, 1,    1.305269, 1852521728.000000
AAAD_MOUSE,    0.364254, 11,    0.074577, 351817203712.000000
AACS_MOUSE,    0.625709, 4,    0.100089, 18233595904.000000
AADAT_MOUSE,    0.124839, 9,    0.015465, 102191644672.000000
AAKB1_MOUSE,    0.155725, 1,    0.000000, 93661520.000000
AAKG1_MOUSE,    0.481034, 3,    3.949386, 1504441600.000000
AAPK1_MOUSE,    0.473001, 1,    0.000000, 663128704.000000
AASS_MOUSE,    0.192498, 23,    0.052546, 462923268096.000000
AATC_MOUSE,    0.210671, 20,    0.038436, 460595396608.000000
