Portien,rateconst,new_Median,new_sd,gumbel_Median,gumbel _sd
1433B_MOUSE,0.309584,0.30234,0.0848611094436079,0.309584,0.047544
1433E_MOUSE,0.299214,0.29764,0.0326160889132955,0.299214,0.052363
1433F_MOUSE,0.379755,0.42542,0.100437447531619,0.379755,0.064582
1433G_MOUSE,0.373152,0.381315,0.0825439750602671,0.373152,0.024947
1433T_MOUSE,0.557099,0.39804,0.177732751681867,0.557099,0.208469
1433Z_MOUSE,0.334697,0.31246,0.0432190742149806,0.334697,0.055192
2A5A_MOUSE,0.200208,0.31054,0,0.200208,0.15603
2A5E_MOUSE,0.30955,NaN,NaN,0.30955,NaN
2AAA_MOUSE,0.342866,0.36743,0.072041497874489,0.342866,0.087161
2AAB_MOUSE,0.614009,NaN,NaN,0.614009,NaN
2ABA_MOUSE,0.398004,NaN,NaN,0.398004,NaN
3BHS1_MOUSE,2.107528,1.288575,0.818955,2.107528,NaN
3BHS3_MOUSE,0.525015,0.50127,0.214736582221102,0.525015,0.094503
3BHS4_MOUSE,0.128268,0.128265,0.0460106023107718,0.128268,0.011366
3BHS5_MOUSE,0.081787,0.1568,0.136582929094378,0.081787,0.012985
3BHS7_MOUSE,0.496642,0.50743,0.313323517751221,0.496642,0.015252
3HAO_MOUSE,0.282623,0.27426,0.142859210049615,0.282623,0.045275
3HIDH_MOUSE,0.140958,0.12765,0.0553584709326405,0.140958,0.023032
5NTC_MOUSE,NaN,NaN,NaN,NaN,0
6PGD_MOUSE,0.145061,0.21677,0.0542692437389724,0.145061,0.10797
6PGL_MOUSE,0.205677,0.24789,0.12568623289277,0.205677,0.063423
A16A1_MOUSE,0.346589,0.33066,0.106516176887717,0.346589,0.064128
A1AG1_MOUSE,3.436858,3.43686,0,3.436858,NaN
A1AT1_MOUSE,0.907065,0.93835,2.90237644802338,0.907065,0.525885
A1AT2_MOUSE,1.026774,1.63174,0,1.026774,0.473548
A1AT4_MOUSE,3.058109,3.05811,0,3.058109,NaN
A1AT5_MOUSE,1.723492,1.489865,0.357677318577793,1.723492,0.38959
A1CF_MOUSE,0.60917,0.52586,0.193358922272085,0.60917,0.108774
A2AP_MOUSE,NaN,NaN,NaN,NaN,0
AAAD_MOUSE,0.376554,0.36425,0.0244236283954698,0.376554,0.090285
AACS_MOUSE,0.367079,0.50614,0.110105217060773,0.367079,0.294921
AADAT_MOUSE,0.119391,0.12755,0.0112816321514221,0.119391,0.015638
AAKB1_MOUSE,0.146805,NaN,NaN,0.146805,0.012615
AAKG1_MOUSE,0.157372,3.96208,3.80471,0.157372,NaN
AAPK1_MOUSE,0.237143,0.46968,0,0.237143,0.328851
AAPK2_MOUSE,1.280156,2.01692,0,1.280156,1.041944
AASD1_MOUSE,0.315158,0.537595,0.242265,0.315158,0.030195
AASS_MOUSE,0.188842,0.16053,0.0536738316128074,0.188842,0.052546
AATC_MOUSE,0.215463,0.22895,0.0323221395331435,0.215463,0.038436
AATM_MOUSE,0.118917,0.13573,0.0265718351643239,0.118917,0.03109
ABC8B_MOUSE,0.204393,0.204395,0.084015,0.204393,0.118815
ABCA6_MOUSE,0.371259,0.52618,0.220739285286398,0.371259,0.082289
ABCB6_MOUSE,0.067079,0.22886,0,0.067079,0.094864
ABCB7_MOUSE,0.122096,0.202485,0.062795,0.122096,0.02488
ABCBA_MOUSE,0.002305,0.00039,0,0.002305,0.00326
ABCBB_MOUSE,0.280819,0.43843,0.0320010224836645,0.280819,0.206071
