Portien,rateconst,new_Median,new_sd,gumbel_Median,gumbel _sd
ABCD1_MOUSE,0.394293,0.39429,0,0.394293,NaN
ABCD3_MOUSE,0.41307,0.36028,0.0920371956113396,0.41307,0.093926
ABCE1_MOUSE,0.269306,0.40101,0.608966319703589,0.269306,0.143649
ABCF1_MOUSE,0.377879,0.42563,0,0.377879,0.067535
ABCF2_MOUSE,0.666944,0.66694,0,0.666944,NaN
ABCF3_MOUSE,NaN,NaN,NaN,NaN,0
ABCG2_MOUSE,0.00012,0.6317,0,0.00012,0.00017
ABD12_MOUSE,0.624795,NaN,NaN,0.624795,NaN
ABHD3_MOUSE,0.265992,NaN,NaN,0.265992,NaN
ABHD6_MOUSE,0.400289,0.44459,0.207075413208704,0.400289,0.06265
ABHDB_MOUSE,0.003572,0.18976,0.145545390934314,0.003572,0.003974
ABHEB_MOUSE,0.194919,0.22254,0.0294343476910904,0.194919,0.039471
ABI1_MOUSE,0.019156,NaN,NaN,0.019156,0.027091
ACACA_MOUSE,0.341713,0.63953,0.0473355321085546,0.341713,0.267001
ACACB_MOUSE,0.411115,0.59149,0.164262397328177,0.411115,0.151413
ACAD8_MOUSE,0.149601,0.149335,0.0887177413820793,0.149601,0.007908
ACAD9_MOUSE,0.188805,0.18101,0.0587161996045384,0.188805,0.013667
ACADL_MOUSE,0.158125,0.18488,0.0305535362274156,0.158125,0.035571
ACADM_MOUSE,0.257071,0.26552,0.0462013327080507,0.257071,0.067886
ACADS_MOUSE,0.130481,0.14346,0.0255590012324425,0.130481,0.035589
ACADV_MOUSE,0.378879,0.36825,0.0669594317777563,0.378879,0.099769
ACAP2_MOUSE,NaN,NaN,NaN,NaN,0
ACATN_MOUSE,0.423966,NaN,NaN,0.423966,0.159381
ACBD5_MOUSE,0.983053,1.04649,1.29685198286803,0.983053,0.636123
ACBP_MOUSE,0.346635,0.30794,0.0251992901487324,0.346635,0.07883
ACD10_MOUSE,0.146581,0.15639,0.0648014029340586,0.146581,0.032107
ACD11_MOUSE,0.478345,0.71008,0.224514664501008,0.478345,0.266032
ACDSB_MOUSE,0.369413,0.39536,0.0269780106012285,0.369413,0.049479
ACINU_MOUSE,0.206893,0.20689,0,0.206893,NaN
ACL6A_MOUSE,0.235222,0.19945,0,0.235222,0.32923
ACLY_MOUSE,0.576539,0.61067,0.0506838764894715,0.576539,0.162684
ACNT1_MOUSE,0.346511,0.33262,0.0769532728348834,0.346511,0.01964
ACO12_MOUSE,0.501529,0.50111,0.116038296609352,0.501529,0.061147
ACO13_MOUSE,0.078314,NaN,NaN,0.078314,0.110753
ACOC_MOUSE,0.227989,0.24301,0.0374328333952962,0.227989,0.051611
ACOD1_MOUSE,0.571894,NaN,NaN,0.571894,NaN
ACON_MOUSE,0.135345,0.15284,0.0148111079936648,0.135345,0.03228
ACOT1_MOUSE,0.166794,0.18525,0.041518685638431,0.166794,0.028835
ACOT2_MOUSE,0.145376,0.28628,0,0.145376,0.199274
ACOT4_MOUSE,0.352766,0.39876,0.988661972611918,0.352766,0.014512
ACOT8_MOUSE,0.217585,0.37075,0.133039501903257,0.217585,0.170303
ACOX1_MOUSE,1.197345,0.96569,0.0644359805077877,1.197345,0.296785
ACOX2_MOUSE,0.545884,0.49112,0.135299778861608,0.545884,0.134972
ACOX3_MOUSE,0.337247,0.19141,0.00695999999999999,0.337247,NaN
ACPM_MOUSE,NaN,NaN,NaN,NaN,0
ACS2L_MOUSE,0.000191,0.00019,6E-05,0.000191,8.3E-05
ACSA_MOUSE,0.372773,0.44373,0.0500021409941614,0.372773,0.091251
ACSF2_MOUSE,0.209034,0.20314,0.0198722459727128,0.209034,0.047633
ACSF3_MOUSE,0.320331,0.30386,0.0152100642996669,0.320331,0.03445
ACSL1_MOUSE,0.335819,0.34152,0.0154582193023647,0.335819,0.085683
ACSL4_MOUSE,0.648978,10.33757,0,0.648978,0.052243
ACSL5_MOUSE,0.398432,0.39625,0.0489724872147617,0.398432,0.093125
ACSL6_MOUSE,NaN,NaN,NaN,NaN,0
ACSM1_MOUSE,0.151613,0.16267,0.0316213045904181,0.151613,0.04221
ACSM2_MOUSE,NaN,NaN,NaN,NaN,0
ACSM3_MOUSE,0.092012,0.18376,0.100798376256763,0.092012,0.077937
ACSM5_MOUSE,0.14106,0.16013,0.0176022123609505,0.14106,0.037072
ACSS3_MOUSE,0.109131,0.18983,0.0122232340237762,0.109131,0.100102
ACTBL_MOUSE,0.21021,0.22099,0.0359702013338819,0.21021,0.04611
ACTB_MOUSE,0.204067,0.2359,0.0122558159255106,0.204067,0.05005
ACTC_MOUSE,0.154487,0.30897,0,0.154487,0.218477
ACTN1_MOUSE,0.254599,0.29669,0.0401860707210844,0.254599,0.062274
ACTN4_MOUSE,0.258714,0.28287,0.0181003462950298,0.258714,0.046034
ACTY_MOUSE,0.178592,0.343985,0.150904934375089,0.178592,0.171426
ACTZ_MOUSE,4.361477,0.43997,0.04686,4.361477,4.632956
ACY1_MOUSE,0.210578,0.24465,0.0321505532611804,0.210578,0.011681
ACY3_MOUSE,0.166832,0.25994,1.85530178682176,0.166832,0.019045
ACYP1_MOUSE,1.097308,NaN,NaN,1.097308,1.078217
ADCK5_MOUSE,NaN,NaN,NaN,NaN,0
ADDA_MOUSE,0.000568,0,0,0.000568,0.000803
ADH1_MOUSE,0.195363,0.21984,0.0161982102715084,0.195363,0.050122
ADH4_MOUSE,0.131977,0.29559,0.0724942485074966,0.131977,0.052993
ADHX_MOUSE,0.208126,0.22292,0.0162243323437361,0.208126,0.039182
ADK_MOUSE,0.299236,0.31962,0.0242699686031935,0.299236,0.079042
ADPGK_MOUSE,0.498998,0.499,0.1129,0.498998,0.159661
ADPRS_MOUSE,0.195948,0.19595,0,0.195948,NaN
ADRO_MOUSE,0.013708,0.00014,0.0235655346262762,0.013708,0.024347
ADT1_MOUSE,0.175259,0.17955,0.00946057433069825,0.175259,0.011589
ADT2_MOUSE,0.212732,0.20899,0.0472359619781369,0.212732,0.039162
ADX_MOUSE,NaN,0.22543,0,NaN,0
AFAD_MOUSE,0.00212,0.27679,0,0.00212,0.000123
AFG31_MOUSE,0.130862,0.13086,0,0.130862,NaN
AFG32_MOUSE,0.128181,0.15826,0.0769027248469707,0.128181,0.042532
AGFG2_MOUSE,0.448238,0.36682,0,0.448238,0.115145
AGK_MOUSE,0.191336,0.19134,0,0.191336,NaN
AGM1_MOUSE,0.114647,0.09267,0.0406446136926189,0.114647,0.031083
AGO1_MOUSE,0.079014,0.07901,0,0.079014,NaN
AGO2_MOUSE,NaN,NaN,NaN,NaN,0
AGRIN_MOUSE,0.062498,0.0625,0,0.062498,NaN
AGT2_MOUSE,0.127097,0.13867,0.0378902613345435,0.127097,0.032389
AHSA1_MOUSE,0.99195,0.55808,0.12468,0.99195,0.517202
AIFM1_MOUSE,0.156847,0.16003,0.0307555673008969,0.156847,0.029504
AIMP1_MOUSE,0.178275,0.260585,0.0772938452837611,0.178275,0.136576
AIMP2_MOUSE,0.096331,0.147765,0.0788881160075599,0.096331,0.004969
AK1A1_MOUSE,0.246899,0.2351,0.0129105677644324,0.246899,0.04855
AK1CD_MOUSE,0.254577,0.26003,0.0491451582152301,0.254577,0.059017
AK1D1_MOUSE,0.258863,0.27946,0.0218432418839329,0.258863,0.039541
AKC1H_MOUSE,0.193661,0.21792,0.0581596361319429,0.193661,0.047109
AKCL2_MOUSE,0.195556,0.19556,0.02653,0.195556,0.037517
AL1A1_MOUSE,0.282516,0.28122,0.0555875657319153,0.282516,0.072284
AL1A7_MOUSE,0.26233,0.25945,0.102454756570888,0.26233,0.06373
AL1B1_MOUSE,0.141527,0.16851,0.0248811414529157,0.141527,0.033165
AL1L1_MOUSE,0.334066,0.32136,0.0245625112722621,0.334066,0.096217
AL3A2_MOUSE,0.297777,0.30264,0.0330381585443257,0.297777,0.058015
AL4A1_MOUSE,0.104148,0.1536,0.0481875911827931,0.104148,0.031819
AL7A1_MOUSE,0.173258,0.17609,0.0285716778646267,0.173258,0.041807
AL8A1_MOUSE,0.250184,0.29007,0.10521000807908,0.250184,0.06171
AL9A1_MOUSE,0.220517,0.19333,0.0415106312165932,0.220517,0.05965
ALAT1_MOUSE,0.434909,0.42608,0.0941636688749966,0.434909,0.120944
ALAT2_MOUSE,0.528099,0.78766,0.173108244679449,0.528099,0.423088
ALBU_MOUSE,0.263218,0.33128,0.0358252561191124,0.263218,0.075769
ALD2_MOUSE,0.190229,NaN,NaN,0.190229,0.073938
ALDH2_MOUSE,0.487551,0.389,0.026214618364569,0.487551,0.139219
ALDOA_MOUSE,0.309673,0.50963,0.160445771225047,0.309673,0.251473
ALDOB_MOUSE,0.445283,0.48651,0.0373540958932217,0.445283,0.110916
ALDOC_MOUSE,0.103825,0.20765,0.04489,0.103825,0.125366
ALDR_MOUSE,0.085216,0.16555,0,0.085216,0.113613
ALG11_MOUSE,0.45525,0.45525,0,0.45525,NaN
ALG2_MOUSE,1.977792,0.41019,0,1.977792,2.216927
ALG5_MOUSE,0.288358,0.44919,0.11481,0.288358,0.065089
ALR_MOUSE,0.151384,0.166855,0.019485,0.151384,0.016957
ALS2_MOUSE,0.225409,NaN,NaN,0.225409,0.114653
AMACR_MOUSE,0.294868,0.36569,0.123384297055987,0.294868,0.095244
AMBP_MOUSE,1.318293,1.8027,2.77174756651227,1.318293,0.685052
AMFR_MOUSE,0.46707,NaN,NaN,0.46707,0.33665
AMPB_MOUSE,0.257556,0.29332,0.140164540728214,0.257556,0.042879
AMPE_MOUSE,0.597155,0.58593,0.302656545040744,0.597155,0.052236
AMPL_MOUSE,0.293936,0.27846,0.0495314758108417,0.293936,0.073635
AMPN_MOUSE,0.52493,0.92867,0.388836408531917,0.52493,0.42082
AMRP_MOUSE,0.510246,0.581585,0.201282150894584,0.510246,0.049509
AMY1_MOUSE,1.859722,NaN,NaN,1.859722,NaN
AN32A_MOUSE,0.293432,0.26677,0.0520725932593145,0.293432,0.025357
AN32B_MOUSE,0.328767,0.32877,0.02281,0.328767,0.03226
AN32E_MOUSE,0.381186,NaN,NaN,0.381186,0.412232
ANFY1_MOUSE,0.14708,0.16677,0,0.14708,0.027843
ANK1_MOUSE,0.00034,0.00034,0,0.00034,NaN
ANK3_MOUSE,0,0,0,0,NaN
ANM1_MOUSE,0.211695,0.2117,0,0.211695,NaN
ANM5_MOUSE,0.228944,0.22894,0,0.228944,NaN
ANT3_MOUSE,2.328895,2.91092,1.03062900225057,2.328895,1.671759
ANX11_MOUSE,0.417449,0.46137,0,0.417449,0.062117
ANXA1_MOUSE,0.196705,NaN,NaN,0.196705,NaN
ANXA2_MOUSE,0.053295,0.06847,0.030460145910499,0.053295,0.037866
ANXA3_MOUSE,0.532125,0.53213,0,0.532125,NaN
ANXA4_MOUSE,0.34848,0.37094,0.144136728976344,0.34848,0.03497
ANXA5_MOUSE,0.202957,0.19205,0.0473537941035351,0.202957,0.043234
ANXA6_MOUSE,0.335899,0.37895,0.0494837317105329,0.335899,0.071665
ANXA7_MOUSE,0.497448,0.58956,0.952161963020064,0.497448,0.130265
AOFA_MOUSE,0.208995,0.29723,0.0907820666333512,0.208995,0.124788
AOFB_MOUSE,0.19957,0.23897,0.0232200029285097,0.19957,0.039877
AOXA_MOUSE,0.321062,0.4989,0.139067138392057,0.321062,0.243443
AOXC_MOUSE,0.441006,0.433,0.0208692152224275,0.441006,0.112091
AP1B1_MOUSE,0.125043,0.14085,0.115312806528546,0.125043,0.082613
AP1G1_MOUSE,0.000266,0.15107,0.15054,0.000266,0.000376
AP1M1_MOUSE,0.222387,0.16722,0.0708900192003234,0.222387,0.075224
AP1S1_MOUSE,0.304382,0.30438,0,0.304382,NaN
AP2A1_MOUSE,0.123116,0.18953,0.051764492849829,0.123116,0.08681
AP2A2_MOUSE,0.139865,0.17383,0.122588803898734,0.139865,0.038877
AP2B1_MOUSE,0.196791,0.22207,0.0990331783789388,0.196791,0.042285
AP2M1_MOUSE,0.238437,0.29975,0.108119097369521,0.238437,0.111252
AP3B1_MOUSE,0.257832,0.25783,0.03001,0.257832,0.042437
AP3D1_MOUSE,0.335884,0.34356,0,0.335884,0.010858
AP3M1_MOUSE,0.382131,0.31459,0.07136,0.382131,0.196431
AP3S1_MOUSE,NaN,0.6486,0,NaN,0
AP4A_MOUSE,0.546861,NaN,NaN,0.546861,NaN
APEH_MOUSE,0.222,0.29359,0.081025798755705,0.222,0.079964
APEX1_MOUSE,0.208225,0.34117,0.0838350790242366,0.208225,0.190225
API5_MOUSE,0.048058,0.79758,0,0.048058,NaN
APMAP_MOUSE,0.290771,0.27962,0,0.290771,0.015764
APOA1_MOUSE,3.184819,0.78197,0.069504332239077,3.184819,3.875973
APOA4_MOUSE,1.169376,1.23407,0,1.169376,0.091494
APOB_MOUSE,4.22456,4.14209,2.76744014042291,4.22456,3.562696
APOC1_MOUSE,0.240316,0.24032,0,0.240316,NaN
APOC3_MOUSE,NaN,NaN,NaN,NaN,0
APOE_MOUSE,8.82516,8.82516,0.742550656773664,8.82516,0.186575
APOH_MOUSE,0.342077,NaN,NaN,0.342077,0.48377
APT_MOUSE,0.453054,0.442935,0.0972503996135748,0.453054,0.024786
AQP1_MOUSE,0.276664,0.27666,0,0.276664,NaN
ARAF_MOUSE,0.662268,0.480605,0.181665,0.662268,NaN
ARC1A_MOUSE,0.11333,0.11051,0.049828020470414,0.11333,0.010034
ARC1B_MOUSE,0.107191,0.1205,0.0176406696301473,0.107191,0.023901
ARCH_MOUSE,NaN,NaN,NaN,NaN,0
ARF1_MOUSE,0.528111,0.49795,0.0456149478131895,0.528111,0.055786
ARF4_MOUSE,0.621367,0.47524,0,0.621367,0.206659
ARF5_MOUSE,1.400474,1.40047,0,1.400474,NaN
ARF6_MOUSE,0.12013,0.12078,0.0161496136864701,0.12013,0.000921
ARFG1_MOUSE,0.363842,0.36384,0,0.363842,NaN
ARFG2_MOUSE,0.799138,0.707815,0.356295,0.799138,0.394923
ARGI1_MOUSE,0.224982,0.24805,0.0093252530260578,0.224982,0.059161
ARH_MOUSE,0.642963,0.64296,0,0.642963,NaN
ARI2_MOUSE,0.344457,0.31835,0,0.344457,0.036928
ARK72_MOUSE,0.193355,0.20945,0.0303341664794008,0.193355,0.023868
ARL1_MOUSE,2.006541,2.38106,0,2.006541,0.529647
ARL8A_MOUSE,0.125478,NaN,NaN,0.125478,0.044364
ARL8B_MOUSE,0.326835,0.56576,0,0.326835,0.104464
ARLY_MOUSE,0.307348,0.28691,0.0572464557505528,0.307348,0.07816
ARM10_MOUSE,NaN,NaN,NaN,NaN,0
ARMC1_MOUSE,0.223545,0.17492,0,0.223545,0.068759
ARMT1_MOUSE,0.203944,NaN,NaN,0.203944,NaN
ARP10_MOUSE,0.459384,0.459385,0.024925,0.459384,0.035248
ARP2_MOUSE,0.195064,0.16863,0.0664581682036727,0.195064,0.069197
ARP3_MOUSE,0.204287,0.171855,0.0856422907447016,0.204287,0.057915
ARP5L_MOUSE,0.246623,0.17862,0.04707,0.246623,0.02961
ARPC2_MOUSE,0.138363,0.12741,0.0304104120327233,0.138363,0.035164
ARPC3_MOUSE,0.191702,0.191705,0.050185,0.191702,0.070973
ARPC4_MOUSE,0.143403,0.143405,0.014695,0.143403,0.020781
ARPC5_MOUSE,0.221685,0.221685,0.032475,0.221685,0.045923
ARRB1_MOUSE,0.094714,0.10553,0.02104,0.094714,0.014453
ARSB_MOUSE,0.126803,NaN,NaN,0.126803,NaN
ARY2_MOUSE,0.278858,0.38397,0.192641218561576,0.278858,0.148646
AS3MT_MOUSE,0.611631,0.37733,0.220922727501112,0.611631,0.248645
ASAH1_MOUSE,0.144877,0.1295,0.0484018796696529,0.144877,0.021751
ASCC3_MOUSE,0.471641,0.93659,0,0.471641,0.657536
ASGL1_MOUSE,0.46464,NaN,NaN,0.46464,NaN
ASGR1_MOUSE,1.134741,1.47342,0.405735211036706,1.134741,0.413727
ASGR2_MOUSE,2.840102,NaN,NaN,2.840102,NaN
ASM3A_MOUSE,0.684153,NaN,NaN,0.684153,0
ASNS_MOUSE,NaN,NaN,NaN,NaN,0
ASPC1_MOUSE,0.389968,0.72609,0.05,0.389968,0.369116
ASPD_MOUSE,0.187837,0.17311,0.0255179615173313,0.187837,0.044427
ASPH_MOUSE,0.271471,0.31575,0.0408595426090677,0.271471,0.06521
ASSY_MOUSE,0.285091,0.3128,0.0559302954041904,0.285091,0.078931
AT11C_MOUSE,0.134135,0.33064,0.0732893319931353,0.134135,0.029345
AT131_MOUSE,0.129014,0.231035,0.038475,0.129014,0.123895
AT1A1_MOUSE,0.205764,0.22859,0.0287079030233836,0.205764,0.056295
AT1A4_MOUSE,0.049861,NaN,NaN,0.049861,NaN
AT1B1_MOUSE,0.179737,0.157325,0.0524982222175189,0.179737,0.036396
AT1B3_MOUSE,NaN,NaN,NaN,NaN,0
AT2A2_MOUSE,0.433596,0.47447,0.161343855216119,0.433596,0.12491
AT2B1_MOUSE,0.368396,0.30172,0.08523,0.368396,0.02624
AT2L1_MOUSE,1.109877,1.97951,0.77926229298399,1.109877,0.988397
AT5F1_MOUSE,0.134125,0.12886,0.0311154949181272,0.134125,0.021575
ATAD1_MOUSE,0.324599,0.30161,0.08254,0.324599,0.090957
ATAD3_MOUSE,0.105736,0.098235,0.020206925019656,0.105736,0.013047
ATG3_MOUSE,0.177087,0.34322,0,0.177087,0.23495
ATG4B_MOUSE,0.20112,NaN,NaN,0.20112,NaN
ATG5_MOUSE,0.384153,0.38415,0,0.384153,NaN
ATG7_MOUSE,0.451632,0.47059,0.0573322811918963,0.451632,0.026806
ATLA2_MOUSE,0.555755,0.30908,0,0.555755,0.348847
ATLA3_MOUSE,0.274599,0.3261,0.101426073516078,0.274599,0.066263
ATOX1_MOUSE,0.496271,0.543005,0.0435084574393301,0.496271,0.012224
ATP5E_MOUSE,0.06372,0.06372,0,0.06372,NaN
ATP5H_MOUSE,0.138537,0.13738,0.0160114876260765,0.138537,0.029816
ATP5I_MOUSE,0.1196,0.1196,0.0478794494015961,0.1196,0.007238
ATP5J_MOUSE,0.062758,0.12304,0.0531585141084871,0.062758,0.069272
ATP5L_MOUSE,0.113807,0.10513,0.0131127641632114,0.113807,0.007783
ATP8_MOUSE,NaN,NaN,NaN,NaN,0
ATPA_MOUSE,0.156805,0.14364,0.0244282127058039,0.156805,0.03188
ATPB_MOUSE,0.134472,0.12659,0.00727220736778043,0.134472,0.034799
ATPD_MOUSE,0.031426,0.13513,0,0.031426,0.044443
ATPG_MOUSE,0.10319,0.12711,0.0232663513254657,0.10319,0.039338
ATPK_MOUSE,0.118408,0.11841,0.01343,0.118408,0.01899
ATPMK_MOUSE,0.21099,0.21099,0.0987857169268412,0.21099,0.01534
ATPO_MOUSE,0.11791,0.12288,0.013030968344678,0.11791,0.016935
ATTY_MOUSE,0.327052,0.36525,0,0.327052,0.054022
ATX10_MOUSE,0.13457,0.13457,0,0.13457,NaN
ATX2L_MOUSE,0.619804,NaN,NaN,0.619804,NaN
ATX2_MOUSE,0.54399,0.4339,0.12152,0.54399,0.016168
AUHM_MOUSE,0.090046,0.09889,0,0.090046,0.012501
AUP1_MOUSE,0.226326,NaN,NaN,0.226326,0.094528
B2L13_MOUSE,0.053623,0.08781,0,0.053623,0.05568
B2MG_MOUSE,NaN,3.60627,0,NaN,0
B3AT_MOUSE,0.001556,0.00013,0.0099266620144941,0.001556,0.002939
B4GT1_MOUSE,NaN,0.30974,0,NaN,0
BAAT_MOUSE,0.495798,0.53303,0.0738553968237934,0.495798,0.11828
BABA1_MOUSE,0.104013,0.20117,0,0.104013,0.137401
BABA2_MOUSE,0.442702,0.4427,0,0.442702,NaN
BACH_MOUSE,0.109542,0.16538,0.0646405426613635,0.109542,0.017046
BAF_MOUSE,0.040835,NaN,NaN,0.040835,0.05768
BAG3_MOUSE,0.718263,0.936505,0.29883673494067,0.718263,0.271101
BAG6_MOUSE,1.313523,0.56033,0,1.313523,1.096083
BAIP2_MOUSE,0.105339,0.10534,0,0.105339,NaN
BAK_MOUSE,0,NaN,NaN,0,NaN
BAP31_MOUSE,0.302439,0.31605,0.0905574296013309,0.302439,0.040346
BASI_MOUSE,0.545272,0.47491,0.346398287270593,0.545272,0.061143
BAX_MOUSE,1.970712,NaN,NaN,1.970712,2.109831
BCAM_MOUSE,0.216254,0.21625,0,0.216254,NaN
BCAP_MOUSE,0.623664,0.74264,0,0.623664,0.168256
BCS1_MOUSE,0.10227,0.10769,0.00542,0.10227,NaN
BDH2_MOUSE,0.119266,0.11927,0.07219,0.119266,0.102092
BDH_MOUSE,0.158285,0.1564,0.0339250497420416,0.158285,0.035298
BGAL_MOUSE,0.1311,0.12519,0.0221644179310494,0.1311,0.008354
BGH3_MOUSE,0.122198,NaN,NaN,0.122198,NaN
BGLR_MOUSE,0.120329,0.134005,0.0183039283124325,0.120329,0.022263
BHMT1_MOUSE,0.247936,0.24751,0.021927518783483,0.247936,0.044797
BI1_MOUSE,9.541,9.734,0,9.541,0.272943
BID_MOUSE,0.604782,0.60478,0,0.604782,NaN
BIEA_MOUSE,0.207534,0.27848,0.141654412634235,0.207534,0.186165
BIG2_MOUSE,0.352518,NaN,NaN,0.352518,NaN
BIP_MOUSE,0.43746,0.41591,0.0377477593507217,0.43746,0.121003
BIRC6_MOUSE,0.125858,NaN,NaN,0.125858,NaN
BLMH_MOUSE,0.162236,0.3196,0,0.162236,0.152921
BLVRB_MOUSE,0.187153,0.18974,0.0366477488531015,0.187153,0.046645
BMP2K_MOUSE,NaN,NaN,NaN,NaN,0
BODG_MOUSE,0.768985,0.86097,0.240112566051842,0.768985,0.130093
BOLA1_MOUSE,0.520637,0.4904,0.214897298689397,0.520637,0.094843
BOLA3_MOUSE,0.099681,0.13832,0,0.099681,0.054641
BPHL_MOUSE,0.15976,0.16082,0.0156731508000147,0.15976,0.035676
BPNT1_MOUSE,0.306155,0.338,0.0642838702630761,0.306155,0.061664
BRCC3_MOUSE,0.221212,0.22121,0.00665,0.221212,0.009403
BRI3B_MOUSE,NaN,0.29581,0,NaN,0
BROX_MOUSE,0.101494,NaN,NaN,0.101494,NaN
BT3L4_MOUSE,0.201275,0.2318,0.03894,0.201275,0.011902
BTD_MOUSE,0.699643,0.69964,0,0.699643,NaN
BTF3_MOUSE,0.670002,0.66474,0.297628662299554,0.670002,0.007438
BUB3_MOUSE,NaN,4.25091,0,NaN,0
BUP1_MOUSE,0.452283,0.45779,0.385266390394162,0.452283,0.045491
BZW1_MOUSE,0.647445,0.647445,0.098645,0.647445,0.139509
C1QBP_MOUSE,0.076863,0.123125,0.075235,0.076863,0.050383
C1TC_MOUSE,0.201579,0.32803,0.0408674509114527,0.201579,0.055506
C2C2L_MOUSE,0.406718,0.40672,0,0.406718,NaN
C2CD2_MOUSE,0.456777,0.45678,0.08117,0.456777,0.11479
C4BPA_MOUSE,0.693294,0.569815,0.016815,0.693294,0.252975
C560_MOUSE,0.138692,0.112,0.0406054382304746,0.138692,0.046609
CA050_MOUSE,0.168002,0.168,0.00649000000000001,0.168002,0.009174
CAB39_MOUSE,0.72515,0.72515,0.01517,0.72515,0.021449
CACP_MOUSE,0.165796,0.170575,0.038465,0.165796,0.004741
CADH2_MOUSE,0.667613,0.66761,0.18024,0.667613,0.254895
CAF17_MOUSE,0.088092,0.11891,0,0.088092,0.043578
CAH14_MOUSE,0.481233,0.48123,0.0743,0.481233,0.105076
CAH1_MOUSE,0.005642,0.02053,0.000410000000000001,0.005642,0.00146
CAH2_MOUSE,0.018899,0.0204,0.00500658753543769,0.018899,0.003994
CAH3_MOUSE,0.214942,0.20841,0.0280669154699978,0.214942,0.052655
CAH5A_MOUSE,0.228581,0.21086,0.0392547339310815,0.228581,0.043889
CAH8_MOUSE,0.708243,0.07518,0,0.708243,0.7069
CALB1_MOUSE,NaN,NaN,NaN,NaN,0
CALM1_MOUSE,0.216409,0.390065,0.146495868371774,0.216409,0.010677
CALR_MOUSE,0.318262,0.39712,0.0556848142315299,0.318262,0.084383
CALU_MOUSE,0.430173,0.45308,0.0644527559965868,0.430173,0.032396
CALX_MOUSE,0.683504,0.63906,0.095483466924908,0.683504,0.1519
CAN1_MOUSE,0.003149,0.378965,0.095765,0.003149,0.003031
CAN2_MOUSE,0.000922,0.15736,0.15736,0.000922,0.001844
