Portien,rateconst,Abundance,PeptideCount
1433B_MOUSE,0.297362,36814700000,8
1433E_MOUSE,0.301345,151009000000,18
1433F_MOUSE,0.395838,9990150000,4
1433G_MOUSE,0.373152,40348800000,7
1433T_MOUSE,0.557099,34048700000,10
1433Z_MOUSE,0.315191,190710000000,12
2A5E_MOUSE,0.699308,452491000,1
2AAA_MOUSE,0.367434,47263300000,20
2ABA_MOUSE,0.407918,141848000,2
3BHS1_MOUSE,2.107528,11285800000,2
3BHS3_MOUSE,0.525015,91584100000,8
3BHS4_MOUSE,0.128268,51143900000,6
3BHS5_MOUSE,0.081787,73155100000,16
3BHS7_MOUSE,0.4964,20062500000,7
3HAO_MOUSE,0.274415,759517000000,14
3HIDH_MOUSE,0.133821,324359000000,29
6PGD_MOUSE,0.204022,70075400000,10
6PGL_MOUSE,0.147595,47754400000,10
A16A1_MOUSE,0.346589,28745100000,11
A1AT1_MOUSE,1.423138,160849000000,12
A1AT2_MOUSE,1.026774,51438300000,11
A1AT4_MOUSE,3.058109,25257500000,4
A1AT5_MOUSE,1.723492,71772700000,6
A1CF_MOUSE,0.613226,22358200000,14
A2AP_MOUSE,2.554797,1852520000,2
AAAD_MOUSE,0.363017,347302000000,21
AACS_MOUSE,0.597911,17794400000,7
AADAT_MOUSE,0.121178,100703000000,15
AAKB1_MOUSE,0.155725,93661500,1
AAKG1_MOUSE,3.689535,922480000,3
AAPK1_MOUSE,0.473001,663129000,1
AASS_MOUSE,0.188842,453630000000,48
AATC_MOUSE,0.215463,460595000000,29
AATM_MOUSE,0.119005,2790320000000,41
ABCA6_MOUSE,0.413981,4461640000,8
ABCB7_MOUSE,0.126307,5333430000,6
ABCBA_MOUSE,0.041655,1117750000,3
ABCBB_MOUSE,0.416291,91050200000,25
ABCD1_MOUSE,0.39923,407014000,1
ABCD3_MOUSE,0.406575,481002000000,34
ABCE1_MOUSE,0.390784,31543600000,9
ABCF1_MOUSE,0.425634,1382980000,2
ABCF2_MOUSE,0.727442,1131200000,2
ABCG2_MOUSE,0.00012,4050840000,5
ABHD3_MOUSE,0.273516,1097620000,1
ABHD6_MOUSE,0.400289,3432520000,6
ABHDB_MOUSE,0.005271,17282900000,8
ABHEB_MOUSE,0.191086,367177000000,14
ACACA_MOUSE,0.52864,53798400000,32
ACACB_MOUSE,0.522499,9451520000,10
ACAD8_MOUSE,0.149601,66641900000,15
ACAD9_MOUSE,0.188805,23806900000,9
ACADL_MOUSE,0.156552,553352000000,28
ACADM_MOUSE,0.257071,450792000000,18
ACADS_MOUSE,0.130481,766558000000,31
ACADV_MOUSE,0.378182,601979000000,39
ACATN_MOUSE,0.365007,1165680000,1
ACBD5_MOUSE,0.983053,40181200000,10
ACBP_MOUSE,0.346635,998206000000,15
ACD10_MOUSE,0.146581,16098700000,13
